Player ID,Player Name,Gender,Team,Position,Primary Position,Tier,Price,Price Category,Value Rating,Ranking,Edition,In Latest Edition,Edition Count,Price Trend,Price Tier Ratio,Historical_Avg_Price,Historical_Min_Price,Historical_Max_Price,Historical_Avg_Tier,Price_Variance_From_Avg,Tier_Movement,Value_Proposition,Tier_Min_Ranking,Is_Tier_Top,Export_Date,Data_Version,Recommended_Price
1,Aman Antil,Man,The Übermensch United,"Attacker, Midfielder",Midfielder,1,63,Premium,0.63,,APL 6.0,False,3,42.0,63.0,35.0,0,63,1.3,28.0,0.0,,1.0,False,2025-04-07,1.0,
2,Anandi Laxmi Somiah,Non-Cis,Hasbulla FC,Midfielder,Midfielder,1,18,Medium,2.22,,APL 6.0,False,1,0.0,18.0,18.0,18,18,1.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
3,Anandita Saksena,Non-Cis,The Übermensch United,"Defender, Goalkeeper",Goalkeeper,1,26,Medium,1.54,,APL 6.0,False,2,0.0,26.0,13.0,0,26,1.0,13.0,0.0,,1.0,False,2025-04-07,1.0,
4,Anika Jhunjhunwala,Non-Cis,The Red Challengers,"Defender, Midfielder",Defender,1,21,Medium,1.9,,APL 6.0,False,2,0.0,21.0,10.5,0,21,1.0,10.5,0.0,,1.0,False,2025-04-07,1.0,
5,Aryan Yadav,Man,Suiiicide Squad,Midfielder,Midfielder,1,93,Premium,0.43,,APL 6.0,False,1,0.0,93.0,93.0,93,93,1.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
6,Atharva Dawar,Man,Hasbulla FC,"Attacker, Midfielder",Midfielder,1,65,Premium,0.62,,APL 6.0,False,2,0.0,65.0,32.5,0,65,1.0,32.5,0.0,,1.0,False,2025-04-07,1.0,
7,Dhrthi Bhat,Non-Cis,F.C. Pineapple,"Attacker, Midfielder",Midfielder,1,30,High,1.33,,APL 6.0,False,2,0.0,30.0,15.0,0,30,1.0,15.0,0.0,,1.0,False,2025-04-07,1.0,
8,Dhruv Achappa,Man,The Red Challengers,"Defender, Midfielder",Defender,1,87,Premium,0.46,,APL 6.0,False,3,120.0,87.0,69.0,0,120,1.0,18.0,0.0,,1.0,False,2025-04-07,1.0,
9,Dhruv Damodhar,Man,Dholakpur FC,"Defender, Goalkeeper",Goalkeeper,1,46,High,0.87,,APL 6.0,False,2,0.0,46.0,44.0,42,46,1.5,2.0,0.0,,1.0,False,2025-04-07,1.0,
10,Manya Malhotra,Non-Cis,Chakravyuh,"Defender, Midfielder",Defender,1,16,Medium,2.5,,APL 6.0,False,2,0.0,16.0,8.0,0,16,1.0,8.0,0.0,,1.0,False,2025-04-07,1.0,
11,Neeta Kumari,Non-Cis,Thaali Number 420,"Attacker, Midfielder",Midfielder,1,40,High,1.0,,APL 6.0,False,2,0.0,40.0,20.0,0,40,1.0,20.0,0.0,,1.0,False,2025-04-07,1.0,
12,Nikhil Mishra,Man,Ngolo FC,"Defender, Midfielder",Defender,1,45,High,0.89,,APL 6.0,False,2,0.0,45.0,62.5,45,80,1.0,-17.5,0.0,,1.0,False,2025-04-07,1.0,
13,Riwa Desai,Non-Cis,Dholakpur FC,"Attacker, Midfielder",Midfielder,1,15,Medium,2.67,,APL 6.0,False,2,0.0,15.0,7.5,0,15,1.5,7.5,0.0,,1.0,False,2025-04-07,1.0,
14,Zahaan Shapoorjee,Man,Ngolo FC,Attacker,Attacker,1,87,Premium,0.46,,APL 6.0,False,2,0.0,87.0,43.5,0,87,1.0,43.5,0.0,,1.0,False,2025-04-07,1.0,
15,Aahana Banarjee,Non-Cis,ELEPHANT.,"Defender, Midfielder",Defender,2,21,Medium,1.43,,APL 6.0,False,1,0.0,10.5,21.0,21,21,2.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
16,Ahaan Krishnaprasad,Man,Club Penguin,"Defender, Midfielder",Defender,2,32,High,0.94,,APL 6.0,False,3,80.0,16.0,37.3,0,80,1.7,-5.299999999999997,0.0,,1.0,False,2025-04-07,1.0,
17,Ahmed ahmed,Man,Magic Moments,"Attacker, Midfielder",Midfielder,2,29,Medium,1.03,,APL 6.0,False,1,0.0,14.5,29.0,29,29,2.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
18,Angira Kanwar,Non-Cis,FZ Warriors,"Defender, Midfielder",Defender,2,12,Medium,2.5,,APL 6.0,False,2,0.0,6.0,6.0,0,12,2.0,6.0,0.0,,1.0,False,2025-04-07,1.0,
19,Arishka Nayak,Non-Cis,Suiiicide Squad,"Defender, Midfielder",Defender,2,16,Medium,1.88,,APL 6.0,False,1,0.0,8.0,16.0,16,16,2.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
20,Dhananjay Sinh,Man,King's Private,"Attacker, Midfielder",Midfielder,2,55,High,0.55,,APL 6.0,False,3,120.0,27.5,58.3,0,120,1.3,-3.299999999999997,0.0,,1.0,False,2025-04-07,1.0,
21,Ganeev Chadha,Man,HR26,Defender,Defender,2,26,Medium,1.15,,APL 6.0,False,1,0.0,13.0,26.0,26,26,2.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
